JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
"VE|Ventes|29|20240104|707000|Ventes de marchandises|||VE2024010028|20240104|Vente marchandises lot promotionnel|0,00|5120,10|||20240104||"
"VE|Ventes|8|20240104|411000|Clients|CL006|Réseau Proxi Nord|VE2024010007|20240104|Vente marchandises assortiment saisonnier|6949,80|0,00|||20240104||"
"VE|Ventes|8|20240104|445710|TVA collectée|||VE2024010007|20240104|Vente marchandises assortiment saisonnier|0,00|1158,30|||20240104||"
"VE|Ventes|8|20240104|707000|Ventes de marchandises|||VE2024010007|20240104|Vente marchandises assortiment saisonnier|0,00|5791,50|||20240104||"
"AC|Achats|60|20240105|401000|Fournisseurs|FR003|Euro Négoce|AC2024010007|20240105|Achat marchandises import|0,00|2792,40|||20240105||"
"AC|Achats|60|20240105|445660|TVA déductible sur autres biens et services|||AC2024010007|20240105|Achat marchandises import|465,40|0,00|||20240105||"
"AC|Achats|60|20240105|607000|Achats de marchandises|||AC2024010007|20240105|Achat marchandises import|2327,00|0,00|||20240105||"
"AC|Achats|64|20240105|401000|Fournisseurs|FR003|Euro Négoce|AC2024010011|20240105|Achat marchandises réapprovisionnement|0,00|3709,20|||20240105||"
"AC|Achats|64|20240105|445660|TVA déductible sur autres biens et services|||AC2024010011|20240105|Achat marchandises réapprovisionnement|618,20|0,00|||20240105||"
"AC|Achats|64|20240105|607000|Achats de marchandises|||AC2024010011|20240105|Achat marchandises réapprovisionnement|3091,00|0,00|||20240105||"
"VE|Ventes|7|20240105|411000|Clients|CL004|Maison & Stock|VE2024010006|20240105|Vente marchandises gamme standard|6819,12|0,00|||20240105||"
"VE|Ventes|7|20240105|445710|TVA collectée|||VE2024010006|20240105|Vente marchandises gamme standard|0,00|1136,52|||20240105||"
"VE|Ventes|7|20240105|707000|Ventes de marchandises|||VE2024010006|20240105|Vente marchandises gamme standard|0,00|5682,60|||20240105||"
"OD|Opérations diverses|77|20240105|401000|Fournisseurs|FRB01|SCI Entrepôts|LOY202401|20240105|Loyer entrepôt et bureaux|0,00|3360,00|||20240105||"
"OD|Opérations diverses|77|20240105|445660|TVA déductible sur autres biens et services|||LOY202401|20240105|Loyer entrepôt et bureaux|560,00|0,00|||20240105||"
"OD|Opérations diverses|77|20240105|613200|Locations immobilières|||LOY202401|20240105|Loyer entrepôt et bureaux|2800,00|0,00|||20240105||"
"AC|Achats|71|20240106|401000|Fournisseurs|FR004|Stock Delta|AC2024010018|20240106|Achat marchandises lot grossiste|0,00|12285,60|||20240106||"
"AC|Achats|71|20240106|445660|TVA déductible sur autres biens et services|||AC2024010018|20240106|Achat marchandises lot grossiste|2047,60|0,00|||20240106||"
"AC|Achats|71|20240106|607000|Achats de marchandises|||AC2024010018|20240106|Achat marchandises lot grossiste|10238,00|0,00|||20240106||"
"AC|Achats|82|20240106|401000|Fournisseurs|FR007|Transport LogiTrans|TR202401002|20240106|Facture transport marchandises|0,00|1552,80|||20240106||"
"AC|Achats|82|20240106|445660|TVA déductible sur autres biens et services|||TR202401002|20240106|Facture transport marchandises|258,80|0,00|||20240106||"
"AC|Achats|82|20240106|624100|Transports sur achats|||TR202401002|20240106|Facture transport marchandises|1294,00|0,00|||20240106||"
"AC|Achats|67|20240107|401000|Fournisseurs|FR003|Euro Négoce|AC2024010014|20240107|Achat marchandises lot grossiste|0,00|11376,00|||20240107||"
"AC|Achats|67|20240107|445660|TVA déductible sur autres biens et services|||AC2024010014|20240107|Achat marchandises lot grossiste|1896,00|0,00|||20240107||"
"AC|Achats|67|20240107|607000|Achats de marchandises|||AC2024010014|20240107|Achat marchandises lot grossiste|9480,00|0,00|||20240107||"
"VE|Ventes|15|20240108|411000|Clients|CL003|Supérette du Centre|VE2024010014|20240108|Vente marchandises réassort mensuel|9042,84|0,00|||20240108||"
"VE|Ventes|15|20240108|445710|TVA collectée|||VE2024010014|20240108|Vente marchandises réassort mensuel|0,00|1507,14|||20240108||"
"VE|Ventes|15|20240108|707000|Ventes de marchandises|||VE2024010014|20240108|Vente marchandises réassort mensuel|0,00|7535,70|||20240108||"
"VE|Ventes|21|20240108|411000|Clients|CL012|Maison des Bonnes Affaires|VE2024010020|20240108|Vente marchandises réassort mensuel|5512,32|0,00|||20240108||"
"VE|Ventes|21|20240108|445710|TVA collectée|||VE2024010020|20240108|Vente marchandises réassort mensuel|0,00|918,72|||20240108||"
"VE|Ventes|21|20240108|707000|Ventes de marchandises|||VE2024010020|20240108|Vente marchandises réassort mensuel|0,00|4593,60|||20240108||"
"BQ|Banque|53|20240108|411000|Clients|CL012|Maison des Bonnes Affaires|RBQ20240100053|20240108|Règlement client Maison des Bonnes Affaires|0,00|5524,20|L00006|20240108|20240108||"
"BQ|Banque|53|20240108|512000|Banque|||RBQ20240100053|20240108|Règlement client Maison des Bonnes Affaires|5524,20|0,00|L00006|20240108|20240108||"
"BQ|Banque|73|20240108|401000|Fournisseurs|FR003|Euro Négoce|PBQ20240100073|20240108|Règlement fournisseur Euro Négoce|3709,20|0,00|L00008|20240108|20240108||"
"BQ|Banque|73|20240108|512000|Banque|||PBQ20240100073|20240108|Règlement fournisseur Euro Négoce|0,00|3709,20|L00008|20240108|20240108||"
"AC|Achats|55|20240109|401000|Fournisseurs|FR002|Import Beta|AC2024010002|20240109|Achat marchandises import|0,00|7616,40|||20240109||"
"AC|Achats|55|20240109|445660|TVA déductible sur autres biens et services|||AC2024010002|20240109|Achat marchandises import|1269,40|0,00|||20240109||"
"AC|Achats|55|20240109|607000|Achats de marchandises|||AC2024010002|20240109|Achat marchandises import|6347,00|0,00|||20240109||"
"AC|Achats|56|20240109|401000|Fournisseurs|FR004|Stock Delta|AC2024010003|20240109|Achat marchandises collection saisonnière|0,00|4012,80|||20240109||"
"AC|Achats|56|20240109|445660|TVA déductible sur autres biens et services|||AC2024010003|20240109|Achat marchandises collection saisonnière|668,80|0,00|||20240109||"
"AC|Achats|56|20240109|607000|Achats de marchandises|||AC2024010003|20240109|Achat marchandises collection saisonnière|3344,00|0,00|||20240109||"
"VE|Ventes|6|20240109|411000|Clients|CL001|HyperMarché Atlantique|VE2024010005|20240109|Vente marchandises réassort mensuel|3688,20|0,00|||20240109||"
"VE|Ventes|6|20240109|445710|TVA collectée|||VE2024010005|20240109|Vente marchandises réassort mensuel|0,00|614,70|||20240109||"
"VE|Ventes|6|20240109|707000|Ventes de marchandises|||VE2024010005|20240109|Vente marchandises réassort mensuel|0,00|3073,50|||20240109||"
"AC|Achats|68|20240109|401000|Fournisseurs|FR001|Grossiste Alpha|AC2024010015|20240109|Achat marchandises lot grossiste|0,00|3254,40|||20240109||"
"AC|Achats|68|20240109|445660|TVA déductible sur autres biens et services|||AC2024010015|20240109|Achat marchandises lot grossiste|542,40|0,00|||20240109||"
"AC|Achats|68|20240109|607000|Achats de marchandises|||AC2024010015|20240109|Achat marchandises lot grossiste|2712,00|0,00|||20240109||"
"VE|Ventes|10|20240110|411000|Clients|CL011|Centrale Commerce|VE2024010009|20240110|Vente marchandises lot promotionnel|7263,00|0,00|||20240110||"
"VE|Ventes|10|20240110|445710|TVA collectée|||VE2024010009|20240110|Vente marchandises lot promotionnel|0,00|1210,50|||20240110||"
"VE|Ventes|10|20240110|707000|Ventes de marchandises|||VE2024010009|20240110|Vente marchandises lot promotionnel|0,00|6052,50|||20240110||"
"AC|Achats|66|20240110|401000|Fournisseurs|FR005|Fournitures Gamma|AC2024010013|20240110|Achat marchandises collection saisonnière|0,00|5580,00|||20240110||"
"AC|Achats|66|20240110|445660|TVA déductible sur autres biens et services|||AC2024010013|20240110|Achat marchandises collection saisonnière|930,00|0,00|||20240110||"
"AC|Achats|66|20240110|607000|Achats de marchandises|||AC2024010013|20240110|Achat marchandises collection saisonnière|4650,00|0,00|||20240110||"
"BQ|Banque|84|20240110|164000|Emprunts auprès des établissements de crédit|||PRET202401|20240110|Remboursement emprunt bancaire|1250,00|0,00|||20240110||"
"BQ|Banque|84|20240110|512000|Banque|||PRET202401|20240110|Remboursement emprunt bancaire|0,00|1396,00|||20240110||"
"BQ|Banque|84|20240110|661100|Intérêts des emprunts et dettes|||PRET202401|20240110|Remboursement emprunt bancaire|146,00|0,00|||20240110||"
"VE|Ventes|27|20240111|411000|Clients|CL002|Distrib Ouest|VE2024010026|20240111|Vente marchandises réassort mensuel|6056,64|0,00|||20240111||"
"VE|Ventes|27|20240111|445710|TVA collectée|||VE2024010026|20240111|Vente marchandises réassort mensuel|0,00|1009,44|||20240111||"
"VE|Ventes|27|20240111|707000|Ventes de marchandises|||VE2024010026|20240111|Vente marchandises réassort mensuel|0,00|5047,20|||20240111||"
"VE|Ventes|46|20240111|411000|Clients|CL002|Distrib Ouest|VE2024010045|20240111|Vente marchandises lot promotionnel|5262,84|0,00|||20240111||"
"VE|Ventes|46|20240111|445710|TVA collectée|||VE2024010045|20240111|Vente marchandises lot promotionnel|0,00|877,14|||20240111||"
"VE|Ventes|46|20240111|707000|Ventes de marchandises|||VE2024010045|20240111|Vente marchandises lot promotionnel|0,00|4385,70|||20240111||"
"AC|Achats|70|20240111|401000|Fournisseurs|FR002|Import Beta|AC2024010017|20240111|Achat marchandises collection saisonnière|0,00|13965,60|||20240111||"
"AC|Achats|70|20240111|445660|TVA déductible sur autres biens et services|||AC2024010017|20240111|Achat marchandises collection saisonnière|2327,60|0,00|||20240111||"
"AC|Achats|70|20240111|607000|Achats de marchandises|||AC2024010017|20240111|Achat marchandises collection saisonnière|11638,00|0,00|||20240111||"
"AC|Achats|61|20240112|401000|Fournisseurs|FR003|Euro Négoce|AC2024010008|20240112|Achat marchandises lot grossiste|0,00|4540,80|||20240112||"
"AC|Achats|61|20240112|445660|TVA déductible sur autres biens et services|||AC2024010008|20240112|Achat marchandises lot grossiste|756,80|0,00|||20240112||"
"AC|Achats|61|20240112|607000|Achats de marchandises|||AC2024010008|20240112|Achat marchandises lot grossiste|3784,00|0,00|||20240112||"
"BQ|Banque|72|20240112|401000|Fournisseurs|FR003|Euro Négoce|PBQ20240100072|20240112|Règlement fournisseur Euro Négoce|2792,40|0,00|L00007|20240112|20240112||"
"BQ|Banque|72|20240112|512000|Banque|||PBQ20240100072|20240112|Règlement fournisseur Euro Négoce|0,00|2792,40|L00007|20240112|20240112||"
"BQ|Banque|74|20240112|401000|Fournisseurs|FR001|Grossiste Alpha|PBQ20240100074|20240112|Règlement fournisseur Grossiste Alpha|3254,40|0,00|L00009|20240112|20240112||"
"BQ|Banque|74|20240112|512000|Banque|||PBQ20240100074|20240112|Règlement fournisseur Grossiste Alpha|0,00|3254,40|L00009|20240112|20240112||"
"VE|Ventes|18|20240113|411000|Clients|CL005|Comptoir Horizon|VE2024010017|20240113|Vente marchandises lot promotionnel|2034,72|0,00|||20240113||"
"VE|Ventes|18|20240113|445710|TVA collectée|||VE2024010017|20240113|Vente marchandises lot promotionnel|0,00|339,12|||20240113||"
"VE|Ventes|18|20240113|707000|Ventes de marchandises|||VE2024010017|20240113|Vente marchandises lot promotionnel|0,00|1695,60|||20240113||"
"VE|Ventes|20|20240113|411000|Clients|CL011|Centrale Commerce|VE2024010019|20240113|Vente marchandises lot promotionnel|8982,36|0,00|||20240113||"
"VE|Ventes|20|20240113|445710|TVA collectée|||VE2024010019|20240113|Vente marchandises lot promotionnel|0,00|1497,06|||20240113||"
"VE|Ventes|20|20240113|707000|Ventes de marchandises|||VE2024010019|20240113|Vente marchandises lot promotionnel|0,00|7485,30|||20240113||"
"VE|Ventes|22|20240113|411000|Clients|CL006|Réseau Proxi Nord|VE2024010021|20240113|Vente marchandises lot promotionnel|4744,44|0,00|||20240113||"
"VE|Ventes|22|20240113|445710|TVA collectée|||VE2024010021|20240113|Vente marchandises lot promotionnel|0,00|790,74|||20240113||"
"VE|Ventes|22|20240113|707000|Ventes de marchandises|||VE2024010021|20240113|Vente marchandises lot promotionnel|0,00|3953,70|||20240113||"
"BQ|Banque|52|20240113|411000|Clients|CL001|HyperMarché Atlantique|RBQ20240100052|20240113|Règlement client HyperMarché Atlantique|0,00|1979,72|||20240113||"
"BQ|Banque|52|20240113|512000|Banque|||RBQ20240100052|20240113|Règlement client HyperMarché Atlantique|1979,72|0,00|||20240113||"
"VE|Ventes|44|20240114|411000|Clients|CL006|Réseau Proxi Nord|VE2024010043|20240114|Vente marchandises réassort mensuel|8358,12|0,00|||20240114||"
"VE|Ventes|44|20240114|445710|TVA collectée|||VE2024010043|20240114|Vente marchandises réassort mensuel|0,00|1393,02|||20240114||"
"VE|Ventes|44|20240114|707000|Ventes de marchandises|||VE2024010043|20240114|Vente marchandises réassort mensuel|0,00|6965,10|||20240114||"
"VE|Ventes|38|20240115|411000|Clients|CL002|Distrib Ouest|VE2024010037|20240115|Vente marchandises lot promotionnel|5249,88|0,00|||20240115||"
"VE|Ventes|38|20240115|445710|TVA collectée|||VE2024010037|20240115|Vente marchandises lot promotionnel|0,00|874,98|||20240115||"
"VE|Ventes|38|20240115|707000|Ventes de marchandises|||VE2024010037|20240115|Vente marchandises lot promotionnel|0,00|4374,90|||20240115||"
"AC|Achats|57|20240115|401000|Fournisseurs|FR003|Euro Négoce|AC2024010004|20240115|Achat marchandises réapprovisionnement|0,00|2865,60|||20240115||"
"AC|Achats|57|20240115|445660|TVA déductible sur autres biens et services|||AC2024010004|20240115|Achat marchandises réapprovisionnement|477,60|0,00|||20240115||"
"AC|Achats|57|20240115|607000|Achats de marchandises|||AC2024010004|20240115|Achat marchandises réapprovisionnement|2388,00|0,00|||20240115||"
"AC|Achats|58|20240115|401000|Fournisseurs|FR005|Fournitures Gamma|AC2024010005|20240115|Achat marchandises réapprovisionnement|0,00|12508,80|||20240115||"
"AC|Achats|58|20240115|445660|TVA déductible sur autres biens et services|||AC2024010005|20240115|Achat marchandises réapprovisionnement|2084,80|0,00|||20240115||"
"AC|Achats|58|20240115|607000|Achats de marchandises|||AC2024010005|20240115|Achat marchandises réapprovisionnement|10424,00|0,00|||20240115||"
"VE|Ventes|31|20240116|411000|Clients|CL001|HyperMarché Atlantique|VE2024010030|20240116|Vente marchandises assortiment saisonnier|2842,56|0,00|||20240116||"
"VE|Ventes|31|20240116|445710|TVA collectée|||VE2024010030|20240116|Vente marchandises assortiment saisonnier|0,00|473,76|||20240116||"
"VE|Ventes|31|20240116|707000|Ventes de marchandises|||VE2024010030|20240116|Vente marchandises assortiment saisonnier|0,00|2368,80|||20240116||"
"VE|Ventes|42|20240116|411000|Clients|CL004|Maison & Stock|VE2024010041|20240116|Vente marchandises réassort mensuel|3204,36|0,00|||20240116||"
"VE|Ventes|42|20240116|445710|TVA collectée|||VE2024010041|20240116|Vente marchandises réassort mensuel|0,00|534,06|||20240116||"
"VE|Ventes|42|20240116|707000|Ventes de marchandises|||VE2024010041|20240116|Vente marchandises réassort mensuel|0,00|2670,30|||20240116||"
"VE|Ventes|43|20240116|411000|Clients|CL007|Marché Express|VE2024010042|20240116|Vente marchandises gamme standard|4232,52|0,00|||20240116||"
"VE|Ventes|43|20240116|445710|TVA collectée|||VE2024010042|20240116|Vente marchandises gamme standard|0,00|705,42|||20240116||"
"VE|Ventes|43|20240116|707000|Ventes de marchandises|||VE2024010042|20240116|Vente marchandises gamme standard|0,00|3527,10|||20240116||"
"BQ|Banque|48|20240116|411000|Clients|CL004|Maison & Stock|RBQ20240100048|20240116|Règlement client Maison & Stock|0,00|4979,88|L00002|20240116|20240116||"
"BQ|Banque|48|20240116|512000|Banque|||RBQ20240100048|20240116|Règlement client Maison & Stock|4979,88|0,00|L00002|20240116|20240116||"
"VE|Ventes|35|20240118|411000|Clients|CL003|Supérette du Centre|VE2024010034|20240118|Vente marchandises réassort mensuel|5553,36|0,00|||20240118||"
"VE|Ventes|35|20240118|445710|TVA collectée|||VE2024010034|20240118|Vente marchandises réassort mensuel|0,00|925,56|||20240118||"
"VE|Ventes|35|20240118|707000|Ventes de marchandises|||VE2024010034|20240118|Vente marchandises réassort mensuel|0,00|4627,80|||20240118||"
"VE|Ventes|36|20240118|411000|Clients|CL012|Maison des Bonnes Affaires|VE2024010035|20240118|Vente marchandises assortiment saisonnier|4422,60|0,00|||20240118||"
"VE|Ventes|36|20240118|445710|TVA collectée|||VE2024010035|20240118|Vente marchandises assortiment saisonnier|0,00|737,10|||20240118||"
"VE|Ventes|36|20240118|707000|Ventes de marchandises|||VE2024010035|20240118|Vente marchandises assortiment saisonnier|0,00|3685,50|||20240118||"
"VE|Ventes|19|20240119|411000|Clients|CL012|Maison des Bonnes Affaires|VE2024010018|20240119|Vente marchandises lot promotionnel|6431,40|0,00|||20240119||"
"VE|Ventes|19|20240119|445710|TVA collectée|||VE2024010018|20240119|Vente marchandises lot promotionnel|0,00|1071,90|||20240119||"
"VE|Ventes|19|20240119|707000|Ventes de marchandises|||VE2024010018|20240119|Vente marchandises lot promotionnel|0,00|5359,50|||20240119||"
"VE|Ventes|33|20240119|411000|Clients|CL002|Distrib Ouest|VE2024010032|20240119|Vente marchandises réassort mensuel|2379,24|0,00|||20240119||"
"VE|Ventes|33|20240119|445710|TVA collectée|||VE2024010032|20240119|Vente marchandises réassort mensuel|0,00|396,54|||20240119||"
"VE|Ventes|33|20240119|707000|Ventes de marchandises|||VE2024010032|20240119|Vente marchandises réassort mensuel|0,00|1982,70|||20240119||"
"VE|Ventes|25|20240120|411000|Clients|CL008|Bazar Premium|VE2024010024|20240120|Vente marchandises assortiment saisonnier|10226,52|0,00|||20240120||"
"VE|Ventes|25|20240120|445710|TVA collectée|||VE2024010024|20240120|Vente marchandises assortiment saisonnier|0,00|1704,42|||20240120||"
"VE|Ventes|25|20240120|707000|Ventes de marchandises|||VE2024010024|20240120|Vente marchandises assortiment saisonnier|0,00|8522,10|||20240120||"
"AC|Achats|54|20240120|401000|Fournisseurs|FR001|Grossiste Alpha|AC2024010001|20240120|Achat marchandises collection saisonnière|0,00|9681,60|||20240120||"
"AC|Achats|54|20240120|445660|TVA déductible sur autres biens et services|||AC2024010001|20240120|Achat marchandises collection saisonnière|1613,60|0,00|||20240120||"
"AC|Achats|54|20240120|607000|Achats de marchandises|||AC2024010001|20240120|Achat marchandises collection saisonnière|8068,00|0,00|||20240120||"
"BQ|Banque|76|20240120|401000|Fournisseurs|FR003|Euro Négoce|PBQ20240100076|20240120|Règlement fournisseur Euro Négoce|11376,00|0,00|L00011|20240120|20240120||"
"BQ|Banque|76|20240120|512000|Banque|||PBQ20240100076|20240120|Règlement fournisseur Euro Négoce|0,00|11376,00|L00011|20240120|20240120||"
"VE|Ventes|13|20240121|411000|Clients|CL006|Réseau Proxi Nord|VE2024010012|20240121|Vente marchandises assortiment saisonnier|3741,12|0,00|||20240121||"
"VE|Ventes|13|20240121|445710|TVA collectée|||VE2024010012|20240121|Vente marchandises assortiment saisonnier|0,00|623,52|||20240121||"
"VE|Ventes|13|20240121|707000|Ventes de marchandises|||VE2024010012|20240121|Vente marchandises assortiment saisonnier|0,00|3117,60|||20240121||"
"VE|Ventes|16|20240121|411000|Clients|CL012|Maison des Bonnes Affaires|VE2024010015|20240121|Vente marchandises assortiment saisonnier|4749,84|0,00|||20240121||"
"VE|Ventes|16|20240121|445710|TVA collectée|||VE2024010015|20240121|Vente marchandises assortiment saisonnier|0,00|791,64|||20240121||"
"VE|Ventes|16|20240121|707000|Ventes de marchandises|||VE2024010015|20240121|Vente marchandises assortiment saisonnier|0,00|3958,20|||20240121||"
"VE|Ventes|14|20240122|411000|Clients|CL005|Comptoir Horizon|VE2024010013|20240122|Vente marchandises lot promotionnel|2126,52|0,00|||20240122||"
"VE|Ventes|14|20240122|445710|TVA collectée|||VE2024010013|20240122|Vente marchandises lot promotionnel|0,00|354,42|||20240122||"
"VE|Ventes|14|20240122|707000|Ventes de marchandises|||VE2024010013|20240122|Vente marchandises lot promotionnel|0,00|1772,10|||20240122||"
"VE|Ventes|37|20240122|411000|Clients|CL011|Centrale Commerce|VE2024010036|20240122|Vente marchandises réassort mensuel|7471,44|0,00|||20240122||"
"VE|Ventes|37|20240122|445710|TVA collectée|||VE2024010036|20240122|Vente marchandises réassort mensuel|0,00|1245,24|||20240122||"
"VE|Ventes|37|20240122|707000|Ventes de marchandises|||VE2024010036|20240122|Vente marchandises réassort mensuel|0,00|6226,20|||20240122||"
"BQ|Banque|51|20240122|411000|Clients|CL011|Centrale Commerce|RBQ20240100051|20240122|Règlement client Centrale Commerce|0,00|8982,36|L00005|20240122|20240122||"
"BQ|Banque|51|20240122|512000|Banque|||RBQ20240100051|20240122|Règlement client Centrale Commerce|8982,36|0,00|L00005|20240122|20240122||"
"AC|Achats|63|20240122|401000|Fournisseurs|FR005|Fournitures Gamma|AC2024010010|20240122|Achat marchandises réapprovisionnement|0,00|7326,00|||20240122||"
"AC|Achats|63|20240122|445660|TVA déductible sur autres biens et services|||AC2024010010|20240122|Achat marchandises réapprovisionnement|1221,00|0,00|||20240122||"
"AC|Achats|63|20240122|607000|Achats de marchandises|||AC2024010010|20240122|Achat marchandises réapprovisionnement|6105,00|0,00|||20240122||"
"VE|Ventes|40|20240123|411000|Clients|CL011|Centrale Commerce|VE2024010039|20240123|Vente marchandises lot promotionnel|1905,12|0,00|||20240123||"
"VE|Ventes|40|20240123|445710|TVA collectée|||VE2024010039|20240123|Vente marchandises lot promotionnel|0,00|317,52|||20240123||"
"VE|Ventes|40|20240123|707000|Ventes de marchandises|||VE2024010039|20240123|Vente marchandises lot promotionnel|0,00|1587,60|||20240123||"
"VE|Ventes|5|20240123|411000|Clients|CL011|Centrale Commerce|VE2024010004|20240123|Vente marchandises lot promotionnel|8286,84|0,00|||20240123||"
"VE|Ventes|5|20240123|445710|TVA collectée|||VE2024010004|20240123|Vente marchandises lot promotionnel|0,00|1381,14|||20240123||"
